,Name,FullSeason_AVG,Predicted_AVG,%_Error
2,"Judge, Aaron",0.278,0.2687717893086905,3.32
3,"Semien, Marcus",0.255,0.2702404907617594,5.98
4,"Pirela, Jose",0.249,0.2717409268495345,9.13
5,"Hernandez, Cesar",0.253,0.2692173112388675,6.41
6,"Gardner, Brett",0.23600000000000002,0.24890591417195418,5.47
7,"Stanton, Giancarlo",0.266,0.2417897379825057,9.1
8,"Turner, Trea",0.271,0.2812790212243578,3.79
9,"Santana, Carlos",0.22899999999999998,0.2374941700366979,3.71
10,"Taylor, Chris",0.254,0.25819273979713575,1.65
11,"Goldschmidt, Paul",0.29,0.2555003085850441,11.9
12,"Trout, Mike",0.312,0.2767346770474435,11.3
13,"Ramírez, José",0.27,0.2854504544105565,5.72
14,"Correa, Carlos",0.239,0.2826719946693287,18.27
15,"Story, Trevor",0.29100000000000004,0.2422091711208637,16.77
16,"Frazier, Todd",0.213,0.2575170855626289,20.9
17,"Cain, Lorenzo",0.308,0.28200726550596134,8.44
18,"Springer, George",0.265,0.2768971280954279,4.49
19,"Chapman, Matt",0.278,0.26559832119445803,4.46
20,"Choo, Shin-Soo",0.264,0.26072963197383164,1.24
21,"Harper, Bryce",0.249,0.26387935073522195,5.98
22,"Kipnis, Jason",0.23,0.23621408194923338,2.7
23,"Hoskins, Rhys",0.24600000000000002,0.269462711017437,9.54
24,"Marte, Starling",0.27699999999999997,0.2803696905467314,1.22
25,"Markakis, Nick",0.297,0.2971221566811772,0.04
26,"Candelario, Jeimer",0.22399999999999998,0.2718418380664288,21.36
27,"Bregman, Alex",0.28600000000000003,0.279420180625882,2.3
28,"Upton, Justin",0.257,0.25233394538382603,1.82
29,"Shaw, Travis",0.24100000000000002,0.26487728557942913,9.91
30,"Gennett, Scooter",0.31,0.28401198623839485,8.38
31,"Olson, Matt",0.247,0.245474203825603,0.62
32,"Castro, Starlin",0.278,0.2869200795305169,3.21
33,"McCutchen, Andrew",0.255,0.2476792758657853,2.87
34,"Bell, Josh",0.261,0.26103692614221363,0.01
35,"Bellinger, Cody",0.26,0.2727631212356464,4.91
36,"Carpenter, Matt",0.257,0.22318763082436943,13.16
37,"Gonzalez, Marwin",0.247,0.25098672349916434,1.61
38,"Albies, Ozzie",0.261,0.28274760330280185,8.33
39,"Hosmer, Eric",0.253,0.26906894461433084,6.35
40,"Polanco, Gregory",0.254,0.24224490319305614,4.63
41,"Smoak, Justin",0.242,0.2610609565279771,7.88
42,"Lindor, Francisco",0.27699999999999997,0.2637488947202144,4.78
43,"Lowrie, Jed",0.267,0.29637838452706333,11.0
44,"LeMahieu, DJ",0.276,0.2884706347958745,4.52
45,"Dozier, Brian",0.215,0.2684165381223418,24.84
46,"Moncada, Yoán",0.235,0.2429388286237707,3.38
47,"Davidson, Matt",0.228,0.24440654494005956,7.2
48,"Anderson, Brian",0.273,0.26880642646258646,1.54
49,"Altuve, Jose",0.316,0.3094517279793568,2.07
50,"Freeman, Freddie",0.309,0.28874510543921006,6.55
51,"Martínez, José",0.305,0.2921755496158599,4.2
52,"Mazara, Nomar",0.258,0.2731094997289549,5.86
53,"Martinez, J.D.",0.33,0.2770115823045779,16.06
54,"Davis, Khris",0.247,0.25412311381774566,2.88
55,"Benintendi, Andrew",0.29,0.26569898160619015,8.38
56,"Dietrich, Derek",0.265,0.25762747840160016,2.78
57,"Swanson, Dansby",0.23800000000000002,0.27062424370470506,13.71
58,"Gallo, Joey",0.20600000000000002,0.24350826473615375,18.21
59,"Mancini, Trey",0.242,0.2688002391885073,11.07
60,"Inciarte, Ender",0.265,0.28295938129201453,6.78
61,"Rojas, Miguel",0.252,0.2719394645284337,7.91
62,"Pollock, AJ",0.257,0.2730380139355491,6.24
63,"DeJong, Paul",0.24100000000000002,0.25209704811850975,4.6
64,"Galvis, Freddy",0.248,0.25813569298590006,4.09
65,"Machado, Manny",0.297,0.30942896979125095,4.18
66,"Pillar, Kevin",0.252,0.28411562872307405,12.74
67,"Fowler, Dexter",0.18,0.23405619889046655,30.03
