Name,MarApr_PA,MarApr_AB,MarApr_H,MarApr_HR,MarApr_K%,MarApr_BB%,MarApr_BABIP,MarApr_ISO,MarApr_AVG,MarApr_SLG,MarApr_OBP,FullSeason_AVG
,,,,,,,,,,,,
,,,,,,,,,,,,
"Judge, Aaron",126,101,32,7,31,18.3,0.446,0.267,0.317,0.584,0.444,0.278
"Semien, Marcus",134,120,33,3,24.6,8.2,0.345,0.142,0.275,0.417,0.328,0.255
"Pirela, Jose",134,123,32,0,20.9,7.5,0.337,0.089,0.26,0.35,0.321,0.249
"Hernandez, Cesar",122,99,28,2,23,18,0.371,0.111,0.283,0.394,0.41,0.253
"Gardner, Brett",124,100,21,1,21.8,14.5,0.27,0.06,0.21,0.27,0.331,0.236
"Stanton, Giancarlo",128,113,26,5,33.6,9.4,0.318,0.195,0.23,0.425,0.313,0.266
"Turner, Trea",133,116,33,1,18,12.8,0.352,0.095,0.284,0.379,0.376,0.271
"Santana, Carlos",122,98,15,2,17.2,16.4,0.167,0.122,0.153,0.276,0.295,0.229
"Taylor, Chris",133,125,29,4,24.8,5.3,0.281,0.192,0.232,0.424,0.271,0.254
"Goldschmidt, Paul",118,99,27,4,30.5,14.4,0.39,0.232,0.273,0.505,0.39,0.29
"Trout, Mike",124,103,30,10,20.2,15.3,0.29,0.34,0.291,0.631,0.403,0.312
"Ramírez, José",118,105,28,7,9.3,11,0.241,0.248,0.267,0.514,0.347,0.27
"Correa, Carlos",123,103,34,4,24.4,12.2,0.405,0.204,0.33,0.534,0.398,0.239
"Story, Trevor",122,106,24,6,31.1,10.7,0.286,0.226,0.226,0.453,0.32,0.291
"Frazier, Todd",114,90,23,4,23.7,17.5,0.311,0.189,0.256,0.444,0.395,0.213
"Cain, Lorenzo",121,100,29,4,15.7,16.5,0.321,0.19,0.29,0.48,0.405,0.308
"Springer, George",137,120,32,6,18.2,9.5,0.286,0.217,0.267,0.483,0.343,0.265
"Chapman, Matt",119,104,28,6,23.5,10.9,0.314,0.26,0.269,0.529,0.361,0.278
"Choo, Shin-Soo",130,116,27,5,21.5,8.5,0.262,0.181,0.233,0.414,0.308,0.264
"Harper, Bryce",123,89,22,8,17.1,24.4,0.219,0.281,0.247,0.528,0.423,0.249
"Kipnis, Jason",119,107,19,0,25.2,9.2,0.247,0.065,0.178,0.243,0.254,0.23
"Hoskins, Rhys",115,89,27,4,25.2,20,0.404,0.225,0.303,0.528,0.452,0.246
"Marte, Starling",126,112,32,3,18.3,11.1,0.337,0.161,0.286,0.446,0.365,0.277
"Markakis, Nick",125,106,32,4,8.8,14.4,0.304,0.17,0.302,0.472,0.4,0.297
"Candelario, Jeimer",120,106,30,4,22.5,10,0.347,0.236,0.283,0.519,0.367,0.224
"Bregman, Alex",129,108,28,1,12.4,15.5,0.297,0.102,0.259,0.361,0.38,0.286
"Upton, Justin",123,109,25,4,25.2,8.1,0.273,0.147,0.229,0.376,0.293,0.257
"Shaw, Travis",121,107,26,5,19,10.7,0.266,0.215,0.243,0.458,0.325,0.241
"Gennett, Scooter",123,114,34,2,18.7,6.5,0.36,0.114,0.298,0.412,0.344,0.31
"Olson, Matt",113,101,26,3,34.5,8,0.39,0.119,0.257,0.376,0.336,0.247
